
shape of dataset:
(891, 5)
shape of array(dataset)
(891, 5)
[1. 1. 1. 1. 1.]
weights2:
[[-2.20698897]
 [-1.23076075]
 [-1.48497324]
 [-0.11267228]
 [ 4.43327972]]
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:0 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
the test1 result is:1 1
